Course,Artificial Intelligence,Data Science,Cyber Security,Cloud Computing,Emerging tech,Teaching,Blockchain,Quantum Computing,Open Source,Ethics,Agile,Media,Workplace,Difficulty,Duration
Getting Started with Enterprise-grade AI,4,2,2,1,3,1,1,2,1,1,1,1,2,2,1
Building Trustworthy AI Enterprise Solutions,4,2,2,1,3,1,1,2,1,3,1,1,2,3,2
Ethical AI Applications of Deep Learning and Computer Vision,4,2,2,1,3,1,1,2,1,4,1,1,2,3,3
Building AI Solutions Using Advanced Algorithms and Open Source Frameworks,4,2,2,1,3,1,1,2,3,1,1,1,2,4,3
Journey to Cloud: Envisioning Your Solution,1,1,2,4,2,1,2,1,1,1,1,1,2,2,1
Journey to Cloud: Transforming Your Culture,1,1,2,4,2,1,2,1,1,2,1,1,2,2,2
Journey to Cloud: Orchestrating Your Culture,1,1,2,4,2,1,2,1,1,2,1,1,2,3,3
DevOps for Enterprise Business Agility,1,1,1,3,2,1,1,1,1,1,4,1,2,3,2
Building Cloud-based Mobile Solutions for the Enterprise,1,1,1,4,1,1,1,1,1,1,2,1,2,3,2
Getting Started with Enterprise Data Science,2,4,1,2,1,1,1,1,1,1,1,1,2,2,1
Enterprise Data Science in Practice,2,4,1,1,1,1,1,1,1,1,1,1,2,3,2
Machine Learning for Data Science Projects,3,4,1,1,2,1,1,2,1,1,1,1,2,4,3
Getting Started with Threat Intelligence and Hunting,2,1,4,2,2,1,3,1,1,2,1,1,2,2,1
Enterprise Security in Practice,2,1,4,2,2,1,3,1,1,1,1,1,2,3,2
Security Operations Center in Practice,2,1,4,2,1,1,3,1,1,1,1,1,2,4,3
Artificial Intelligence: Getting Started,4,2,1,1,2,1,1,2,1,1,1,1,1,1,0
AI Foundations: A Collaboration of ISTE and IBM,4,3,2,1,2,1,1,2,1,1,1,1,3,1,2
Artificial Intelligence Fundamentals,4,3,1,1,2,1,1,2,1,1,1,1,1,1,2
Build Your Own Chatbots,4,2,1,1,2,1,1,2,1,1,1,1,3,3,1
"IBM AI Education, Powered by MindSpark Learning",4,2,1,1,2,4,1,2,1,2,1,1,2,2,2
Cloud Computing: Getting Started,1,1,2,4,1,1,2,1,1,1,1,1,1,1,0
Introduction to Cloud,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1
IBM Cloud Essentials,1,1,2,4,1,1,2,1,1,1,1,1,2,2,2
Hybrid Cloud: Getting Started,1,1,2,4,1,1,2,1,1,1,1,1,2,3,0
Blockchain: Getting Started,2,1,4,3,2,1,4,1,1,1,1,1,1,3,0
Blockchain Explained,2,1,4,3,2,1,4,1,1,1,1,1,2,1,0
Cybersecurity: Getting Started,2,1,4,3,1,1,3,1,1,1,1,1,1,2,0
Cybersecurity Fundamentals,2,1,4,2,1,1,3,1,1,1,1,1,2,2,1
Data Science: Getting Started,2,4,1,1,1,1,1,1,1,1,1,1,1,1,0
Data Fundamentals,2,4,1,1,1,1,1,1,1,1,1,1,2,1,1
Data Science Foundations,2,4,1,1,1,1,1,1,1,1,1,1,1,2,2
Quantum Computing Virtual Labs,2,2,2,2,1,4,2,4,1,1,1,1,1,2,1
How It Works: Quantum Computing,2,2,2,2,1,1,2,4,1,1,1,1,1,3,0
Quantum Computing,2,2,2,2,1,1,2,4,1,1,1,1,2,3,0
Explore Emerging Tech,1,2,2,2,4,1,2,2,1,1,1,1,2,2,1
Open Source Origin Stories,1,1,2,1,2,2,1,1,4,1,1,1,1,2,1
Agile Explorer,1,1,1,1,1,1,1,1,1,1,4,1,3,2,1
Agile: Getting Started,1,1,1,1,1,1,1,1,1,1,4,1,3,2,0
Design Thinking: Getting Started,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0
Understand IBM Design Thinking in 10 minutes,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0
Enterprise Design Thinking Practitioner,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Design Thinking for Collaborators and Problem Solvers,1,1,1,1,1,1,1,1,1,1,1,4,1,2,0
Working in a Digital World: Professional Skills,1,1,1,1,1,2,1,1,1,2,1,1,1,3,1
Professional Skills and Innovative Ways of Working Together,1,1,1,1,1,2,1,1,1,3,1,1,3,2,0
Preparing for Your First Job (Job Application Essentials),1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
Internships: Get a Head Start on Your Career!,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
Workplace Skills: Helping You Succeed at Work,1,1,1,1,1,1,1,1,3,1,1,1,2,2,0
Tips for Job Readiness When English Is Your Second Language,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
Career Readiness Toolkit,1,1,1,1,1,2,1,1,2,1,1,1,3,1,0
Preparing for Your First Job (Job Application Essentials),1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
Adobe Creative Type Quiz,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0
Basic Principles of Design: A Collaboration of Adobe and IBM,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"Drawing, Illustration, and Art!",1,1,1,1,1,1,1,1,1,1,1,4,1,1,0
Media: Photos and Video,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0
Design an event poster,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0
Make an idiom come to life,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0
Create an infographic,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0
